ID,type,area,length,elevation,pos_x,pos_y,footprint
84,building,191.50000000541334,101.83748935537282,6.5600000000000005,724480.8469973899,6181351.756135771,"[(724485.6800000007, 6181364.800000001), (724488.2800000007, 6181361.600000001), (724486.4800000008, 6181357.4), (724477.0800000008, 6181360.4), (724471.8800000008, 6181343.0), (724481.2800000007, 6181342.0), (724487.0800000008, 6181358.2), (724503.0800000008, 6181353.800000001), (724488.4800000008, 6181360.4), (724488.4800000008, 6181362.800000001), (724485.6800000007, 6181364.800000001)]"
85,building,184.75999999574617,60.452058575758755,5.7299999999999995,724510.1863505817,6181369.590979289,"[(724506.2800000007, 6181379.0), (724502.0800000008, 6181375.2), (724506.8800000008, 6181372.600000001), (724503.0800000008, 6181363.0), (724512.6800000007, 6181359.600000001), (724518.4800000008, 6181374.2), (724506.2800000007, 6181379.0)]"
86,building,27.480000000847504,21.438633786975473,6.68,724451.090771471,6181382.23930131,"[(724449.6800000007, 6181386.4), (724447.8800000008, 6181380.600000001), (724453.0800000008, 6181379.0), (724454.4800000008, 6181382.4), (724449.6800000007, 6181386.4)]"
87,building,202.12000000497324,147.62067150687534,14.329999999999998,724494.7611992884,6181382.4976911405,"[(724487.6800000007, 6181394.600000001), (724487.4800000008, 6181389.600000001), (724482.2800000007, 6181384.600000001), (724484.6800000007, 6181377.0), (724489.0800000008, 6181374.0), (724494.2800000007, 6181376.0), (724490.4800000008, 6181382.600000001), (724497.0800000008, 6181387.600000001), (724502.8800000008, 6181381.2), (724522.4800000008, 6181376.600000001), (724522.8800000008, 6181376.0), (724522.2800000007, 6181375.800000001), (724522.4800000008, 6181375.600000001), (724522.2800000007, 6181375.4), (724522.4800000008, 6181374.4), (724522.2800000007, 6181374.2), (724522.2800000007, 6181373.800000001), (724522.6800000007, 6181373.2), (724522.0800000008, 6181372.2), (724522.2800000007, 6181371.800000001), (724521.8800000008, 6181370.600000001), (724521.4800000008, 6181366.0), (724522.0800000008, 6181365.600000001), (724521.2800000007, 6181364.2), (724522.0800000008, 6181362.4), (724523.0800000008, 6181376.4), (724521.4800000008, 6181379.4), (724508.0800000008, 6181380.4), (724487.6800000007, 6181394.600000001)]"
88,building,997.1800000004284,134.03511115776487,10.45,724615.2491770801,6181396.767516396,"[(724623.2800000007, 6181417.0), (724595.2800000007, 6181407.800000001), (724605.4800000008, 6181377.4), (724639.4800000008, 6181387.2), (724637.6800000007, 6181391.0), (724632.8800000008, 6181390.600000001), (724623.2800000007, 6181417.0)]"
89,building,8215.079999949217,407.5794916973934,10.58,724757.4503959068,6181368.302936552,"[(724819.6800000007, 6181417.2), (724678.0800000008, 6181372.0), (724695.4800000008, 6181319.4), (724836.6800000007, 6181364.600000001), (724819.6800000007, 6181417.2)]"
90,building,1369.95999998159,314.55298246298815,12.780000000000001,724533.6808671793,6181404.131506516,"[(724521.0800000008, 6181431.0), (724518.4800000008, 6181411.600000001), (724500.8800000008, 6181413.2), (724499.8800000008, 6181406.2), (724496.8800000008, 6181405.600000001), (724496.4800000008, 6181400.2), (724508.0800000008, 6181396.800000001), (724506.6800000007, 6181385.800000001), (724518.6800000007, 6181384.2), (724518.0800000008, 6181405.0), (724520.8800000008, 6181405.2), (724521.0800000008, 6181401.800000001), (724530.0800000008, 6181401.600000001), (724531.4800000008, 6181418.0), (724536.4800000008, 6181422.4), (724545.4800000008, 6181418.4), (724558.8800000008, 6181371.600000001), (724569.6800000007, 6181374.4), (724560.2800000007, 6181407.0), (724557.2800000007, 6181407.2), (724552.8800000008, 6181416.800000001), (724551.8800000008, 6181426.0), (724539.0800000008, 6181428.2), (724538.8800000008, 6181424.0), (724535.0800000008, 6181423.0), (724532.4800000008, 6181424.2), (724532.6800000007, 6181429.4), (724521.0800000008, 6181431.0)]"
91,building,1684.7999999929916,177.90604489668857,27.939999999999998,724876.3661111118,6181406.368619818,"[(724882.2800000007, 6181438.0), (724862.6800000007, 6181429.600000001), (724852.8800000008, 6181428.600000001), (724870.0800000008, 6181375.600000001), (724878.8800000008, 6181378.2), (724879.0800000008, 6181382.0), (724882.4800000008, 6181379.4), (724899.4800000008, 6181384.800000001), (724882.2800000007, 6181438.0)]"
92,building,359.18000000394414,130.734771605174,7.22,724463.5870252618,6181429.08907697,"[(724475.0800000008, 6181444.2), (724465.2800000007, 6181432.600000001), (724459.2800000007, 6181431.600000001), (724456.0800000008, 6181436.0), (724453.0800000008, 6181438.600000001), (724454.4800000008, 6181436.800000001), (724449.0800000008, 6181431.600000001), (724454.4800000008, 6181424.600000001), (724451.2800000007, 6181421.0), (724458.8800000008, 6181413.0), (724460.6800000007, 6181415.0), (724458.6800000007, 6181414.0), (724456.6800000007, 6181418.2), (724462.6800000007, 6181419.4), (724461.2800000007, 6181416.800000001), (724466.4800000008, 6181420.600000001), (724471.8800000008, 6181431.0), (724474.8800000008, 6181430.2), (724480.8800000008, 6181437.4), (724473.8800000008, 6181441.2), (724478.2800000007, 6181443.800000001), (724475.0800000008, 6181444.2)]"
93,building,63.259999996875415,39.431708965783166,2.16,724444.3824343985,6181437.429044157,"[(724444.4800000008, 6181445.2), (724440.6800000007, 6181444.0), (724442.4800000008, 6181431.800000001), (724445.6800000007, 6181431.600000001), (724449.6800000007, 6181434.600000001), (724446.6800000007, 6181439.2), (724444.4800000008, 6181438.2), (724444.4800000008, 6181445.2)]"
